cod_fil;cof_fmt;cod_sco
nsp;;
lsh;DaA;
lsh;iep;
lsh;D;
lsh;hdr;
lsh;DU;
lsh;nsp;
lsh;iut;iu1
lsh;iut;iu2
lsh;iut;iu3
lsh;iut;nsp
lsh;L;L1
lsh;L;L2
lsh;L;L3
lsh;L;nsp
lsh;las;L1
lsh;las;L2
lsh;las;L3
lsh;las;nsp
lsh;Lp;L1
lsh;Lp;L2
lsh;Lp;L3
lsh;Lp;nsp
lsh;M;M1
lsh;M;M2
lsh;M;nsp
lsh;Mf;M1
lsh;Mf;M2
lsh;Mf;nsp
lsh;x;x1
lsh;x;x2
lsh;x;nsp
dsg;CA;
dsg;DaA;
dsg;iep;
dsg;D;
dsg;hdr;
dsg;DU;
dsg;nsp;
dsg;iut;iu1
dsg;iut;iu2
dsg;iut;iu3
dsg;iut;nsp
dsg;L;L1
dsg;L;L2
dsg;L;L3
dsg;L;nsp
dsg;las;L1
dsg;las;L2
dsg;las;L3
dsg;las;nsp
dsg;Lp;L1
dsg;Lp;L2
dsg;Lp;L3
dsg;Lp;nsp
dsg;M;M1
dsg;M;M2
dsg;M;nsp
dsg;Mf;M1
dsg;Mf;M2
dsg;Mf;nsp
dsg;x;x1
dsg;x;x2
dsg;x;nsp
sci;DaB;
sci;iep;
sci;D;
sci;hdr;
sci;DU;
sci;nsp;
sci;iut;iu1
sci;iut;iu2
sci;iut;iu3
sci;iut;nsp
sci;L;L1
sci;L;L2
sci;L;L3
sci;L;nsp
sci;las;L1
sci;las;L2
sci;las;L3
sci;las;nsp
sci;Lp;L1
sci;Lp;L2
sci;Lp;L3
sci;Lp;nsp
sci;M;M1
sci;M;M2
sci;M;nsp
sci;Mf;M1
sci;Mf;M2
sci;Mf;nsp
sci;x;x1
sci;x;x2
sci;x;nsp
sci;ing;1
sci;ing;2
sci;ing;3
sci;ing;4
sci;ing;5
sci;ing;6+
sci;ing;M
sci;ing;D
sci;ing;nsp
sta;DaB;
sta;iep;
sta;D;
sta;hdr;
sta;DU;
sta;nsp;
sta;L;L1
sta;L;L2
sta;L;L3
sta;L;nsp
sta;las;L1
sta;las;L2
sta;las;L3
sta;las;nsp
sta;Lp;L1
sta;Lp;L2
sta;Lp;L3
sta;Lp;nsp
sta;M;M1
sta;M;M2
sta;M;nsp
sta;Mf;M1
sta;Mf;M2
sta;Mf;nsp
sta;x;x1
sta;x;x2
sta;x;nsp
san;med;1a
san;med;2a
san;med;3a
san;med;4a
san;med;5a
san;med;6a+
san;med;nsp
san;odo;1a
san;odo;2a
san;odo;3a
san;odo;4a
san;odo;5a
san;odo;6a+
san;odo;nsp
san;pha;1a
san;pha;2a
san;pha;3a
san;pha;4a
san;pha;5a
san;pha;6a+
san;pha;nsp
san;mai;1a
san;mai;2a
san;mai;3a
san;mai;4a
san;mai;5a
san;mai;6a+
san;mai;nsp
san;pa;
san;DU;
san;nsp;
par;aup;1a
par;aup;2a
par;aup;3a
par;aup;nsp
par;inf;1a
par;inf;2a
par;inf;3a
par;inf;nsp
par;ped;1a
par;ped;2a
par;ped;3a
par;ped;nsp
par;psm;1a
par;psm;2a
par;psm;3a
par;psm;nsp
par;ort;1a
par;ort;2a
par;ort;3a
par;ort;nsp
par;mem;1a
par;mem;2a
par;mem;3a
par;mem;nsp
par;erg;1a
par;erg;2a
par;erg;3a
par;erg;nsp
par;ane;4a
par;ane;5a
par;ane;nsp
par;bim;1a
par;bim;2a
par;bim;nsp
par;orh;1a
par;orh;2a
par;orh;3a
par;orh;4a
par;orh;5a
par;orh;nsp
par;kin;1a
par;kin;2a
par;kin;3a
par;kin;4a
par;kin;5a
par;kin;nsp
par;afp;1a
par;afp;2a
par;afp;3a
par;afp;4a
par;afp;5a
par;afp;nsp
par;DU;
par;nsp;
